Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z,time_diff
1676,-6.212108108108108,-11.200135135135135,33.66513513513514,-4.375189189189189,-2.2600000000000002,-2.589810810810811,35.0
1710,3.8878918918918917,-29.320135135135136,8.515135135135136,-5.065189189189189,-1.3299999999999998,-1.1698108108108107,34.0
1745,-1.802108108108108,-21.660135135135135,13.855135135135136,1.9348108108108109,-1.63,0.5101891891891892,35.0
1785,-0.29210810810810806,-11.840135135135135,25.365135135135134,6.764810810810811,-1.43,0.8701891891891892,40.0
1820,-2.682108108108108,-11.260135135135135,18.945135135135136,6.604810810810811,-1.3399999999999999,0.5301891891891892,35.0
1855,0.16789189189189194,-3.780135135135135,14.415135135135134,-0.7951891891891891,-1.3499999999999999,-0.08981081081081081,35.0
1903,0.507891891891892,1.4498648648648649,19.955135135135137,1.1248108108108108,-1.26,0.5101891891891892,48.0
1937,-2.602108108108108,-3.580135135135135,19.045135135135133,0.22481081081081083,-1.14,0.8501891891891892,34.0
1972,-2.412108108108108,-1.970135135135135,18.575135135135135,-0.5451891891891891,-0.95,1.2501891891891892,35.0
2007,-1.6921081081081082,-5.140135135135136,18.925135135135136,-0.2751891891891892,-0.82,1.9601891891891892,35.0
2042,-5.032108108108108,-3.580135135135135,17.555135135135135,-0.6751891891891892,-0.72,2.130189189189189,35.0
2077,-22.842108108108107,-9.020135135135135,21.275135135135137,-0.2551891891891892,1.19,1.1201891891891893,35.0
2111,-6.972108108108108,-2.080135135135135,17.265135135135136,-0.6751891891891892,0.42,0.4201891891891892,34.0
2146,-2.352108108108108,-1.8201351351351351,22.295135135135133,-0.6651891891891892,0.18,0.1801891891891892,35.0
2181,-10.632108108108108,-0.8901351351351351,13.855135135135136,-0.6251891891891892,0.78,-0.2898108108108108,35.0
2216,-7.462108108108108,-0.18013513513513513,20.395135135135135,-0.5351891891891891,1.0,-0.2498108108108108,35.0
2256,-8.932108108108107,-3.550135135135135,12.735135135135135,-0.6351891891891892,1.54,-0.5898108108108108,40.0
2290,-5.752108108108108,-2.710135135135135,16.455135135135137,-0.5251891891891891,1.86,-0.8798108108108108,34.0
2325,-6.152108108108108,-1.640135135135135,15.925135135135136,-0.5251891891891891,2.15,-1.0498108108108108,35.0
2360,-3.832108108108108,-3.190135135135135,14.145135135135135,-0.6551891891891892,2.5599999999999996,-0.9098108108108108,35.0
2395,-3.232108108108108,-4.350135135135136,14.545135135135135,-0.7851891891891891,2.79,-0.5198108108108108,35.0
2430,-2.562108108108108,-3.920135135135135,10.745135135135136,-0.5251891891891891,3.25,-0.5498108108108108,35.0
2464,-6.252108108108108,-14.680135135135135,-3.544864864864863,-1.1651891891891892,2.8,-0.07981081081081082,34.0
2499,-3.522108108108108,-4.400135135135136,11.555135135135135,-1.3051891891891891,1.76,0.4801891891891892,35.0
2534,-0.3321081081081081,2.199864864864865,13.465135135135135,-1.1251891891891892,1.29,0.2701891891891892,35.0
2569,0.1878918918918919,0.6498648648648648,17.305135135135135,-1.3051891891891891,0.92,0.3501891891891892,35.0
2603,1.427891891891892,-2.820135135135135,4.855135135135136,-1.6651891891891892,0.74,0.3001891891891892,34.0
2638,-1.1421081081081081,-2.510135135135135,10.875135135135135,-1.6251891891891892,0.6900000000000001,0.3201891891891892,35.0
2673,-3.8821081081081084,1.7898648648648647,6.505135135135136,-1.4051891891891892,0.65,0.12018918918918918,35.0
2725,-1.5121081081081083,1.7698648648648647,6.895135135135135,-0.8351891891891892,0.7300000000000001,-0.2898108108108108,52.0
2760,0.2978918918918919,0.6598648648648648,11.575135135135135,-0.5351891891891891,0.67,-0.4498108108108108,35.0
2794,1.0578918918918918,2.849864864864865,10.265135135135136,-0.005189189189189189,0.53,-0.4698108108108108,34.0
2829,1.177891891891892,2.119864864864865,9.665135135135136,0.21481081081081083,0.19,-0.4098108108108108,35.0
